,Unnamed: 0,year,rank,song,artist
5066,5066,2010,68,Crawl,Chris Brown
5067,5067,2010,69,Shut It Down,Pitbull Featuring Akon
5068,5068,2010,70,In My Head,Jason Derulo
5069,5069,2010,71,Haven't Met You Yet,Michael Buble
5070,5070,2010,72,Whataya Want From Me,Adam Lambert
5071,5071,2010,73,Eight Second Ride,Jake Owen
5072,5072,2010,74,Someday,Rob Thomas
5073,5073,2010,75,I Wanna Rock,Snoop Dogg
5074,5074,2010,76,Bonfire,Craig Morgan
5075,5075,2010,77,Wasted,Gucci Mane Featuring Plies Or OJ Da Juiceman
5076,5076,2010,78,All The Right Moves,OneRepublic
5077,5077,2010,79,Sex Therapy,Robin Thicke
5078,5078,2010,80,Body Language,Jesse McCartney Featuring T-Pain
5079,5079,2010,81,I Will Not Bow,Breaking Benjamin
5080,5080,2010,82,Break,Three Days Grace
5081,5081,2010,83,Bad Habits,Maxwell
5082,5082,2010,84,On Fire,Lil Wayne
5083,5083,2010,85,Heartbreak Warfare,John Mayer
5084,5084,2010,86,American Saturday Night,Brad Paisley
5085,5085,2010,87,That's How Country Boys Roll,Billy Currington
5086,5086,2010,88,Cryin' For Me (Wayman's Song),Toby Keith
5087,5087,2010,89,Breakeven,The Script
5088,5088,2010,90,1901,Phoenix
5089,5089,2010,91,Halfway Gone,Lifehouse
5090,5090,2010,92,Gettin' You Home,Chris Young
5091,5091,2010,93,Imma Be,The Black Eyed Peas
5092,5092,2010,94,Hey Daddy (Daddy's Home),Usher Featuring Plies
5093,5093,2010,95,(If You're Wondering If I Want You To) I Want You To,Weezer
5094,5094,2010,96,Kings And Queens,Thirty Seconds To Mars
5095,5095,2010,97,I'm Going In,Drake Featuring Lil Wayne & Young Jeezy
5096,5096,2010,98,I Get It In,Omarion Featuring Gucci Mane
5097,5097,2010,99,Drop It Low,Ester Dean Featuring Chris Brown
5098,5098,2010,100,Video Phone,Beyonce Featuring Lady Gaga
5099,5099,2011,1,Firework,Katy Perry
5100,5100,2011,2,Grenade,Bruno Mars
5101,5101,2011,3,What's My Name?,Rihanna Featuring Drake
5102,5102,2011,4,Raise Your Glass,P!nk
5103,5103,2011,5,We R Who We R,Ke$ha
5104,5104,2011,6,Just The Way You Are,Bruno Mars
5105,5105,2011,7,Only Girl (In The World),Rihanna
5106,5106,2011,8,The Time (Dirty Bit),The Black Eyed Peas
5107,5107,2011,9,6 Foot 7 Foot,Lil Wayne Featuring Cory Gunz
5108,5108,2011,10,Just A Dream,Nelly
5109,5109,2011,11,Bottoms Up,Trey Songz Featuring Nicki Minaj
5110,5110,2011,12,Black And Yellow,Wiz Khalifa
5111,5111,2011,13,Tonight (I'm Lovin' You),Enrique Iglesias Featuring Ludacris & DJ Frank E
5112,5112,2011,14,Like A G6,Far*East Movement Featuring Cataracs & Dev
5113,5113,2011,15,DJ Got Us Fallin' In Love,Usher Featuring Pitbull
5114,5114,2011,16,Stereo Love,Edward Maya & Vika Jigulina
5115,5115,2011,17,Dynamite,Taio Cruz
5116,5116,2011,18,No Hands,Waka Flocka Flame Featuring Roscoe Dash & Wale
5117,5117,2011,19,Coming Home,Diddy - Dirty Money Featuring Skylar Grey
5118,5118,2011,20,Yeah 3X,Chris Brown
5119,5119,2011,21,Please Don't Go,Mike Posner
5120,5120,2011,22,Teenage Dream,Katy Perry
5121,5121,2011,23,Animal,Neon Trees
5122,5122,2011,24,F**k You! (Forget You),CeeLo Green
5123,5123,2011,25,Secrets,OneRepublic
5124,5124,2011,26,Back To December,Taylor Swift
5125,5125,2011,27,Hey Baby (Drop It To The Floor),Pitbull Featuring T-Pain
5126,5126,2011,28,Right Above It,Lil Wayne Featuring Drake
5127,5127,2011,29,Right Thru Me,Nicki Minaj
5128,5128,2011,30,Aston Martin Music,Rick Ross Featuring Drake & Chrisette Michele
5129,5129,2011,31,That's All She Wrote,T.I. Featuring Eminem
5130,5130,2011,32,Club Can't Handle Me,Flo Rida Featuring David Guetta
5131,5131,2011,33,I Like It,Enrique Iglesias Featuring Pitbull
5132,5132,2011,34,If I Die Young,The Band Perry
5133,5133,2011,35,Whip My Hair,WILLOW
5134,5134,2011,36,Somewhere With You,Kenny Chesney
5135,5135,2011,37,No Love,Eminem Featuring Lil Wayne
5136,5136,2011,38,Deuces,Chris Brown Featuring Tyga & Kevin McCall
5137,5137,2011,39,Hold My Hand,Michael Jackson Duet With Akon
5138,5138,2011,40,Felt Good On My Lips,Tim McGraw
5139,5139,2011,41,Rocketeer,Far*East Movement Featuring Ryan Tedder
5140,5140,2011,42,Pretty Girl Rock,Keri Hilson
5141,5141,2011,43,My Kinda Party,Jason Aldean
5142,5142,2011,44,Love The Way You Lie,Eminem Featuring Rihanna
5143,5143,2011,45,Kush,Dr. Dre Featuring Snoop Dogg & Akon
5144,5144,2011,46,Jar Of Hearts,Christina Perri
5145,5145,2011,47,Stuck Like Glue,Sugarland
5146,5146,2011,48,Love Like Woe,The Ready Set
5147,5147,2011,49,Can't Be Friends,Trey Songz
5148,5148,2011,50,Memories,David Guetta Featuring Kid Cudi
5149,5149,2011,51,Who Are You When I'm Not Looking,Blake Shelton
5150,5150,2011,52,Mine,Taylor Swift
5151,5151,2011,53,Down On Me,Jeremih Featuring 50 Cent
5152,5152,2011,54,As She's Walking Away,Zac Brown Band Featuring Alan Jackson
5153,5153,2011,55,Rhythm of Love,Plain White T's
5154,5154,2011,56,Dog Days Are Over,Florence + The Machine
5155,5155,2011,57,We No Speak Americano,Yolanda Be Cool & Dcup
5156,5156,2011,58,Mama's Song,Carrie Underwood
5157,5157,2011,59,Turn On The Radio,Reba
5158,5158,2011,60,Don't You Wanna Stay,Jason Aldean With Kelly Clarkson
5159,5159,2011,61,Put You In A Song,Keith Urban
5160,5160,2011,62,Let Me Down Easy,Billy Currington
5161,5161,2011,63,Voices,Chris Young
5162,5162,2011,64,Lay It Down,Lloyd
5163,5163,2011,65,Why Wait,Rascal Flatts
5164,5164,2011,66,Maybe,Sick Puppies
5165,5165,2011,67,The Breath You Take,George Strait
5166,5166,2011,68,Only Prettier,Miranda Lambert
5167,5167,2011,69,Who Dat Girl,Flo Rida Featuring Akon
5168,5168,2011,70,Fire Flame,Birdman Featuring Lil Wayne
5169,5169,2011,71,Make A Movie,Twista Featuring Chris Brown
5170,5170,2011,72,Waiting For The End,Linkin Park
5171,5171,2011,73,Marry Me,Train
5172,5172,2011,74,Bass Down Low,Dev Featuring The Cataracs
5173,5173,2011,75,Fall For Your Type,Jamie Foxx Featuring Drake
5174,5174,2011,76,Anything Like Me,Brad Paisley
5175,5175,2011,77,Little Lion Man,Mumford & Sons
5176,5176,2011,78,Someone Else Calling You Baby,Luke Bryan
5177,5177,2011,79,Hello World,Lady Antebellum
5178,5178,2011,80,Higher,Taio Cruz Featuring Travie McCoy
5179,5179,2011,81,No BS,Chris Brown
5180,5180,2011,82,Moment 4 Life,Nicki Minaj Featuring Drake
5181,5181,2011,83,Christmas Lights,Coldplay
5182,5182,2011,84,Runaway,Kanye West Featuring Pusha T
5183,5183,2011,85,Bullets In The Gun,Toby Keith
5184,5184,2011,86,F**kin' Perfect,P!nk
5185,5185,2011,87,Smoke A Little Smoke,Eric Church
5186,5186,2011,88,More,Usher
5187,5187,2011,89,All I Want Is You,Miguel Featuring J. Cole
5188,5188,2011,90,What Do You Want,Jerrod Niemann
5189,5189,2011,91,Loving You No More,Diddy - Dirty Money Featuring Drake
5190,5190,2011,92,Are You Gonna Kiss Me Or Not,Thompson Square
5191,5191,2011,93,When A Woman Loves,R. Kelly
5192,5192,2011,94,You Be Killin Em,Fabolous
5193,5193,2011,95,September,Daughtry
5194,5194,2011,96,Loca,Shakira Featuring El Cata or Dizzee Rascal
5195,5195,2011,97,For The First Time,The Script
5196,5196,2011,98,Letting Go (Dutty Love),Sean Kingston Featuring Nicki Minaj
5197,5197,2011,99,"Baby, It's Cold Outside",Glee Cast
5198,5198,2011,100,Oh Santa!,Mariah Carey
5199,5199,2012,1,Sexy And I Know It,LMFAO
5200,5200,2012,2,We Found Love,Rihanna Featuring Calvin Harris
5201,5201,2012,3,The One That Got Away,Katy Perry
5202,5202,2012,4,It Will Rain,Bruno Mars
5203,5203,2012,5,Ni**as in Paris,Jay Z Kanye West
5204,5204,2012,6,Good Feeling,Flo Rida
5205,5205,2012,7,Set Fire To The Rain,Adele
5206,5206,2012,8,Someone Like You,Adele
5207,5207,2012,9,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock
5208,5208,2012,10,Dance (A$$),Big Sean Featuring Nicki Minaj
5209,5209,2012,11,Stereo Hearts,Gym Class Heroes Featuring Adam Levine
5210,5210,2012,12,Moves Like Jagger,Maroon 5 Featuring Christina Aguilera
5211,5211,2012,13,5 O'Clock,T-Pain Featuring Wiz Khalifa & Lily Allen
5212,5212,2012,14,Without You,David Guetta Featuring Usher
5213,5213,2012,15,Headlines,Drake
5214,5214,2012,16,"Young, Wild & Free",Snoop Dogg & Wiz Khalifa Featuring Bruno Mars
5215,5215,2012,17,Work Out,J. Cole
5216,5216,2012,18,Red Solo Cup,Toby Keith
5217,5217,2012,19,Mistletoe,Justin Bieber
5218,5218,2012,20,Pumped Up Kicks,Foster The People
5219,5219,2012,21,The Motto,Drake Featuring Lil Wayne
5220,5220,2012,22,You Da One,Rihanna
5221,5221,2012,23,Not Over You,Gavin DeGraw
5222,5222,2012,24,Make Me Proud,Drake Featuring Nicki Minaj
5223,5223,2012,25,Domino,Jessie J
5224,5224,2012,26,I Don't Want This Night To End,Luke Bryan
5225,5225,2012,27,Love You Like A Love Song,Selena Gomez & The Scene
5226,5226,2012,28,Super Bass,Nicki Minaj
5227,5227,2012,29,I Like It Like That,Hot Chelle Rae Featuring New Boyz
5228,5228,2012,30,Safe & Sound,Taylor Swift Featuring The Civil Wars
5229,5229,2012,31,You Make Me Feel...,Cobra Starship Featuring Sabi
5230,5230,2012,32,Mr. Know It All,Kelly Clarkson
5231,5231,2012,33,International Love,Pitbull Featuring Chris Brown
5232,5232,2012,34,It Girl,Jason Derulo
5233,5233,2012,35,Rolling In The Deep,Adele
5234,5234,2012,36,She Will,Lil Wayne Featuring Drake
5235,5235,2012,37,Just A Kiss,Lady Antebellum
5236,5236,2012,38,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer"
5237,5237,2012,39,Marry The Night,Lady Gaga
5238,5238,2012,40,Tattoos On This Town,Jason Aldean
5239,5239,2012,41,Strange Clouds,B.o.B Featuring Lil Wayne
5240,5240,2012,42,Fly,Nicki Minaj Featuring Rihanna
5241,5241,2012,43,Paradise,Coldplay
5242,5242,2012,44,Rack City,Tyga
5243,5243,2012,45,Ours,Taylor Swift
5244,5244,2012,46,God Gave Me You,Blake Shelton
5245,5245,2012,47,Blackout,Breathe Carolina
5246,5246,2012,48,Lotus Flower Bomb,Wale Featuring Miguel
5247,5247,2012,49,Take Care,Drake Featuring Rihanna
5248,5248,2012,50,Easy,Rascal Flatts Featuring Natasha Bedingfield
5249,5249,2012,51,Drink In My Hand,Eric Church
5250,5250,2012,52,A Thousand Years,Christina Perri
5251,5251,2012,53,Keep Me In Mind,Zac Brown Band
5252,5252,2012,54,Tonight Is The Night,Outasight
5253,5253,2012,55,The Trouble With Girls,Scotty McCreery
5254,5254,2012,56,Let It Rain,David Nail Featuring Sarah Buxton
5255,5255,2012,57,Wild Ones,Flo Rida Featuring Sia
5256,5256,2012,58,All Your Life,The Band Perry
5257,5257,2012,59,We Owned The Night,Lady Antebellum
5258,5258,2012,60,You,Chris Young
5259,5259,2012,61,I Do,Young Jeezy Featuring Jay-Z & Andre 3000
5260,5260,2012,62,Turn Me On,David Guetta Featuring Nicki Minaj
5261,5261,2012,63,Brighter Than The Sun,Colbie Caillat
5262,5262,2012,64,Heartbeat,The Fray
5263,5263,2012,65,Party,Beyonce Featuring Andre 3000
5264,5264,2012,66,When We Stand Together,Nickelback
5265,5265,2012,67,Can't Get Enough,J. Cole Featuring Trey Songz
5266,5266,2012,68,Wish You Were Here,Avril Lavigne
5267,5267,2012,69,Scary Monsters And Nice Sprites,Skrillex
5268,5268,2012,70,You The Boss,Rick Ross Featuring Nicki Minaj
5269,5269,2012,71,Levels,Avicii
5270,5270,2012,72,Blunt Blowin,Lil Wayne
5271,5271,2012,73,Bait A Hook,Justin Moore
5272,5272,2012,74,Mirror,Lil Wayne Featuring Bruno Mars
5273,5273,2012,75,Donald Trump,Mac Miller
5274,5274,2012,76,Better Than I Know Myself,Adam Lambert
5275,5275,2012,77,Alone With You,Jake Owen
5276,5276,2012,78,Rumour Has It,Adele
5277,5277,2012,79,I'm Gonna Love You Through It,Martina McBride
5278,5278,2012,80,Countdown,Beyonce
5279,5279,2012,81,Stupid Hoe,Nicki Minaj
5280,5280,2012,82,Lonely Boy,The Black Keys
5281,5281,2012,83,Ass Back Home,Gym Class Heroes Featuring Neon Hitch
5282,5282,2012,84,Storm Warning,Hunter Hayes
5283,5283,2012,85,First Of The Year (Equinox),Skrillex
5284,5284,2012,86,Drummer Boy,Justin Bieber Featuring Busta Rhymes
5285,5285,2012,87,Nothing,The Script
5286,5286,2012,88,Knock Knock,Mac Miller
5287,5287,2012,89,Love On Top,Beyonce
5288,5288,2012,90,Party On Fifth Ave.,Mac Miller
5289,5289,2012,91,Baggage Claim,Miranda Lambert
5290,5290,2012,92,Strip,Chris Brown Featuring Kevin K-MAC McCall
5291,5291,2012,93,Good Good Night,Roscoe Dash
5292,5292,2012,94,Wobble,V.I.C.
5293,5293,2012,95,Home,Dierks Bentley
5294,5294,2012,96,Shake It Out,Florence + The Machine
5295,5295,2012,97,Sail,AWOLNATION
5296,5296,2012,98,Camouflage,Brad Paisley
5297,5297,2012,99,That Way,Wale Featuring Jeremih & Rick Ross
5298,5298,2012,100,We Are Young,Glee Cast
5299,5299,2013,1,Locked Out Of Heaven,Bruno Mars
5300,5300,2013,2,Diamonds,Rihanna
5301,5301,2013,3,Ho Hey,The Lumineers
5302,5302,2013,4,I Knew You Were Trouble.,Taylor Swift
5303,5303,2013,5,Beauty And A Beat,Justin Bieber Featuring Nicki Minaj
5304,5304,2013,6,Die Young,Ke$ha
5305,5305,2013,7,One More Night,Maroon 5
5306,5306,2013,8,I Cry,Flo Rida
5307,5307,2013,9,Home,Phillip Phillips
5308,5308,2013,10,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz
5309,5309,2013,11,Don't You Worry Child,Swedish House Mafia Featuring John Martin
5310,5310,2013,12,Scream & Shout,will.i.am & Britney Spears
5311,5311,2013,13,Try,P!nk
5312,5312,2013,14,Some Nights,fun.
5313,5313,2013,15,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo
5314,5314,2013,16,Girl On Fire,Alicia Keys Featuring Nicki Minaj
5315,5315,2013,17,The A Team,Ed Sheeran
5316,5316,2013,18,It's Time,Imagine Dragons
5317,5317,2013,19,Gangnam Style,PSY
5318,5318,2013,20,Swimming Pools (Drank),Kendrick Lamar
5319,5319,2013,21,All I Want For Christmas Is You,Mariah Carey
5320,5320,2013,22,Cruise,Florida Georgia Line Featuring Nelly
5321,5321,2013,23,Clique,"Kanye West, Jay-Z, Big Sean"
5322,5322,2013,24,F**kin Problems,"A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar"
5323,5323,2013,25,Adorn,Miguel
5324,5324,2013,26,Sweet Nothing,Calvin Harris Featuring Florence Welch
5325,5325,2013,27,Don't Stop The Party,Pitbull Featuring TJR
5326,5326,2013,28,Too Close,Alex Clare
5327,5327,2013,29,We Are Never Ever Getting Back Together,Taylor Swift
5328,5328,2013,30,Catch My Breath,Kelly Clarkson
5329,5329,2013,31,Va Va Voom,Nicki Minaj
5330,5330,2013,32,Little Talks,Of Monsters And Men
5331,5331,2013,33,I'm Different,2 Chainz
5332,5332,2013,34,No Worries,Lil Wayne Featuring Detail
5333,5333,2013,35,As Long As You Love Me,Justin Bieber Featuring Big Sean
5334,5334,2013,36,Wanted,Hunter Hayes
5335,5335,2013,37,Hall Of Fame,The Script Featuring will.i.am
5336,5336,2013,38,Bandz A Make Her Dance,Juicy J Featuring Lil Wayne & 2 Chainz
5337,5337,2013,39,I Will Wait,Mumford & Sons
5338,5338,2013,40,Thinkin Bout You,Frank Ocean
5339,5339,2013,41,Little Things,One Direction
5340,5340,2013,42,Don't Wake Me Up,Chris Brown
5341,5341,2013,43,Call Me Maybe,Carly Rae Jepsen
5342,5342,2013,44,Better Dig Two,The Band Perry
5343,5343,2013,45,Lights,Ellie Goulding
5344,5344,2013,46,Daylight,Maroon 5
5345,5345,2013,47,Blow Me (One Last Kiss),P!nk
5346,5346,2013,48,Anything Could Happen,Ellie Goulding
5347,5347,2013,49,Somebody That I Used To Know,Gotye Featuring Kimbra
5348,5348,2013,50,Every Storm (Runs Out Of Rain),Gary Allan
5349,5349,2013,51,Goodbye In Her Eyes,Zac Brown Band
5350,5350,2013,52,Radioactive,Imagine Dragons
5351,5351,2013,53,Feel Again,OneRepublic
5352,5352,2013,54,Til My Last Day,Justin Moore
5353,5353,2013,55,How Country Feels,Randy Houser
5354,5354,2013,56,Beer Money,Kip Moore
5355,5355,2013,57,The Only Way I Know,Jason Aldean With Luke Bryan & Eric Church
5356,5356,2013,58,Wicked Games,The Weeknd
5357,5357,2013,59,Birthday Song,2 Chainz Featuring Kanye West
5358,5358,2013,60,Cry,Cassadee Pope
5359,5359,2013,61,Ball,T.I. Featuring Lil Wayne
5360,5360,2013,62,When I Was Your Man,Bruno Mars
5361,5361,2013,63,Madness,Muse
5362,5362,2013,64,Remember You,Wiz Khalifa Featuring The Weeknd
5363,5363,2013,65,Kiss Tomorrow Goodbye,Luke Bryan
5364,5364,2013,66,Tornado,Little Big Town
5365,5365,2013,67,Don't Judge Me,Chris Brown
5366,5366,2013,68,Creepin',Eric Church
5367,5367,2013,69,Somebody's Heartbreak,Hunter Hayes
5368,5368,2013,70,Love Sosa,Chief Keef
5369,5369,2013,71,Southern Comfort Zone,Brad Paisley
5370,5370,2013,72,Poetic Justice,Kendrick Lamar Featuring Drake
5371,5371,2013,73,Skyfall,Adele
5372,5372,2013,74,Live While We're Young,One Direction
5373,5373,2013,75,One Of Those Nights,Tim McGraw
5374,5374,2013,76,Begin Again,Taylor Swift
5375,5375,2013,77,Diced Pineapples,Rick Ross Featuring Wale & Drake
5376,5376,2013,78,Guap,Big Sean
5377,5377,2013,79,Rest Of My Life,Ludacris Featuring Usher & David Guetta
5378,5378,2013,80,El Cerrito Place,Kenny Chesney
5379,5379,2013,81,All Gold Everything,Trinidad James
5380,5380,2013,82,Neva End,Future
5381,5381,2013,83,Celebration,"Game Featuring Chris Brown, Tyga, Wiz Khalifa & Lil Wayne"
5382,5382,2013,84,Over You,Cassadee Pope
5383,5383,2013,85,Two Black Cadillacs,Carrie Underwood
5384,5384,2013,86,Did It For The Girl,Greg Bates
5385,5385,2013,87,Turn On The Lights,Future
5386,5386,2013,88,Stubborn Love,The Lumineers
5387,5387,2013,89,Merry Go 'round,Kacey Musgraves
5388,5388,2013,90,The One That Got Away,Jake Owen
5389,5389,2013,91,Who Booty,Jonn Hart Featuring IamSU!
5390,5390,2013,92,Take A Walk,Passion Pit
5391,5391,2013,93,Tip It On Back,Dierks Bentley
5392,5392,2013,94,Ready Or Not,Bridgit Mendler
5393,5393,2013,95,King Wizard,Kid Cudi
5394,5394,2013,96,Ice,Kelly Rowland Featuring Lil Wayne
5395,5395,2013,97,Young & Gettin' It,Meek Mill Featuring Kirko Bangz
5396,5396,2013,98,Representin',Ludacris Featuring Kelly Rowland
5397,5397,2013,99,C'mon,Ke$ha
5398,5398,2013,100,Crying On A Suitcase,Casey James
5399,5399,2014,1,The Monster,Eminem Featuring Rihanna
5400,5400,2014,2,Timber,Pitbull Featuring Ke$ha
5401,5401,2014,3,Counting Stars,OneRepublic
5402,5402,2014,4,Say Something,A Great Big World & Christina Aguilera
5403,5403,2014,5,Royals,Lorde
5404,5404,2014,6,Demons,Imagine Dragons
5405,5405,2014,7,Let Her Go,Passenger
5406,5406,2014,8,Wake Me Up!,Avicii
5407,5407,2014,9,Wrecking Ball,Miley Cyrus
5408,5408,2014,10,Story Of My Life,One Direction
5409,5409,2014,11,Roar,Katy Perry
5410,5410,2014,12,Drunk In Love,Beyonce Featuring Jay Z
5411,5411,2014,13,"Hold On, We're Going Home",Drake Featuring Majid Jordan
5412,5412,2014,14,Dark Horse,Katy Perry Featuring Juicy J
5413,5413,2014,15,Burn,Ellie Goulding
5414,5414,2014,16,Do What U Want,Lady Gaga Featuring R. Kelly
5415,5415,2014,17,Sweater Weather,The Neighbourhood
5416,5416,2014,18,Team,Lorde
5417,5417,2014,19,White Walls,Macklemore & Ryan Lewis Featuring ScHoolboy Q & Hollis
5418,5418,2014,20,23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J"
5419,5419,2014,21,Pompeii,Bastille
5420,5420,2014,22,Stay The Night,Zedd Featuring Hayley Williams
5421,5421,2014,23,Unconditionally,Katy Perry
5422,5422,2014,24,My Hitta,YG Featuring Jeezy & Rich Homie Quan
5423,5423,2014,25,Applause,Lady Gaga
5424,5424,2014,26,All I Want For Christmas Is You,Mariah Carey
5425,5425,2014,27,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell
5426,5426,2014,28,Holy Grail,Jay Z Featuring Justin Timberlake
5427,5427,2014,29,Show Me,Kid Ink Featuring Chris Brown
5428,5428,2014,30,Stay,Florida Georgia Line
5429,5429,2014,31,Radioactive,Imagine Dragons
5430,5430,2014,32,Love More,Chris Brown Featuring Nicki Minaj
5431,5431,2014,33,Gas Pedal,Sage The Gemini Featuring IamSu!
5432,5432,2014,34,Drink A Beer,Luke Bryan
5433,5433,2014,35,Brave,Sara Bareilles
5434,5434,2014,36,It Won't Stop,Sevyn Streeter Featuring Chris Brown
5435,5435,2014,37,All Me,Drake Featuring 2 Chainz & Big Sean
5436,5436,2014,38,Rap God,Eminem
5437,5437,2014,39,Sail,AWOLNATION
5438,5438,2014,40,Whatever She's Got,David Nail
5439,5439,2014,41,Marry Me,Jason Derulo
5440,5440,2014,42,Safe And Sound,Capital Cities
5441,5441,2014,43,Drunk Last Night,Eli Young Band
5442,5442,2014,44,Best Day Of My Life,American Authors
5443,5443,2014,45,The Christmas Song (Merry Christmas To You),Nat King Cole
5444,5444,2014,46,Wasting All These Tears,Cassadee Pope
5445,5445,2014,47,Carolina,Parmalee
5446,5446,2014,48,Who You Love,John Mayer Featuring Katy Perry
5447,5447,2014,49,Replay,Zendaya
5448,5448,2014,50,Rockin' Around The Christmas Tree,Brenda Lee
5449,5449,2014,51,I Have Nothing,Tessanne Chin
5450,5450,2014,52,Sweet Annie,Zac Brown Band
5451,5451,2014,53,Chillin' It,Cole Swindell
5452,5452,2014,54,Let It Go,Idina Menzel
5453,5453,2014,55,All Of Me,John Legend
5454,5454,2014,56,That's My Kind Of Night,Luke Bryan
5455,5455,2014,57,When She Says Baby,Jason Aldean
5456,5456,2014,58,Bottoms Up,Brantley Gilbert
5457,5457,2014,59,Animals,Martin Garrix
5458,5458,2014,60,HeadBand,B.o.B Featuring 2 Chainz
5459,5459,2014,61,Let It Go,Demi Lovato
5460,5460,2014,62,Don't Let Me Be Lonely,The Band Perry
5461,5461,2014,63,Hey Brother,Avicii
5462,5462,2014,64,Little Drummer Boy,Pentatonix
5463,5463,2014,65,Friday Night,Eric Paslay
5464,5464,2014,66,XO,Beyonce
5465,5465,2014,67,Up All Night,Jon Pardi
5466,5466,2014,68,The Language,Drake
5467,5467,2014,69,Slow Down,Selena Gomez
5468,5468,2014,70,Love Me Again,John Newman
5469,5469,2014,71,Radio,Darius Rucker
5470,5470,2014,72,I Luv This Sh*t,August Alsina Featuring Trinidad James
5471,5471,2014,73,We Were Us,Keith Urban And Miranda Lambert
5472,5472,2014,74,TKO,Justin Timberlake
